Field Angle (⁰), X Field Strength (mT),	Z Field Strength (mT)
Reference pic taken,	0,	0
270,	0,	10
280,	1.74,	9.84
290,	3.42,	9.4
300,	5,	8.66
310,	6.43,	7.66
320,	7.66,	6.43
330,	8.66,	5,
340,	9.4,	3.42
350,	9.84,	1.74
360,	10,	0
10,	9.84,	-1.74
20,	9.4,	-3.42
30,	8.66,	-5
40,	7.66,	-6.43
50,	6.43,	-7.66
60,	5,	-8.66
70,	3.42,	-9.4
80,	1.74,	-9.84
90,	0,	-10
100,	-1.74,	-9.84
110	,-3.42,	-9.4
120	,-5,	-8.66
130,	-6.43,	-7.66
140,	-7.66,	-6.43
150,	-8.66,	-5
160,	-9.4,	-3.42
170,	-9.84,	-1.74
180,	-10	0,
190,	-9.84,	1.74
200,	-9.4,	3.42
210,	-8.66,	5
220,	-7.66,	6.43
230,	-6.43,	7.66
240,	-5,	8.66
250,	-3.42,	9.4
260,	-1.74,	9.84